instrument 9  start 17.57570  duration 0.01250  amplitude 46  pitch 65.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 17.58820  duration 0.01250  amplitude 46  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 17.82570  duration 0.01250  amplitude 46  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 17.83820  duration 0.01250  amplitude 46  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.07570  duration 0.01250  amplitude 46  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.08820  duration 0.01250  amplitude 46  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.10070  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.10070  duration 0.01250  amplitude 47  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.11320  duration 0.01250  amplitude 47  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.12570  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.12570  duration 0.00000  amplitude 48  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.12570  duration 0.00000  amplitude 48  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.12570  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.12570  duration 0.00000  amplitude 49  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.12570  duration 0.00000  amplitude 49  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.12570  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.12570  duration 0.00000  amplitude 50  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.12570  duration 0.00000  amplitude 50  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.12570  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.12570  duration 0.00000  amplitude 51  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.12570  duration 0.00000  amplitude 51  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.12570  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.12570  duration 0.01250  amplitude 52  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.13820  duration 0.01250  amplitude 52  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.15070  duration 0.00000  amplitude 0  pitch 6.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.15070  duration 0.01250  amplitude 53  pitch 71.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.15070  duration 0.01250  amplitude 53  pitch 68.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.16320  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.16320  duration 0.00000  amplitude 54  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.17570  duration 0.00000  amplitude 54  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.17570  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.17570  duration 0.01250  amplitude 55  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.17570  duration 0.01250  amplitude 55  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.18821  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.18821  duration 0.00000  amplitude 56  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.20071  duration 0.00000  amplitude 56  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.20071  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.20071  duration 0.01250  amplitude 57  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.21321  duration 0.01250  amplitude 57  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.22570  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.22570  duration 0.00000  amplitude 58  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.22570  duration 0.00000  amplitude 58  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.22570  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 18.22570  duration 0.00000  amplitude 59  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
